DocumentNumber,Date,Currency,AmountDKK,AmountEUR,Type,GLAccount,CostCenter,ItemName,SourceType
78001000,2025-08-04,EUR,647162601.43,86867463.28,Debit,56629,CC101,Strategic IT Infrastructure Implementation,Service
78001000,2025-11-14,EUR,-749422358.13,-100593605.12,Credit,40211,CC102,ABS Plastic Resin (Acrylonitrile Butadiene Styrene),Procurement
78001000,2025-09-20,EUR,87978.71,11809.22,Debit,40721,CC104,ABS Plastic Resin (Acrylonitrile Butadiene Styrene),Procurement
78001000,2025-10-27,EUR,-14858772.56,-1994466.12,Credit,45015,CC103,High-Impact Polystyrene (HIPS),Procurement
78001000,2025-02-22,EUR,-9531112.74,-1279343.99,Credit,45015,CC105,Polyethylene Packaging Film,Procurement
78001000,2025-11-16,EUR,-46663.14,-6263.51,Credit,45015,CC105,Polyethylene Packaging Film,Procurement
78001000,2025-12-05,EUR,21957372.17,2947298.28,Debit,45015,CC105,Polyethylene Packaging Film,Procurement
78001000,2025-05-15,EUR,14408298.37,1933999.78,Debit,45015,CC103,Polyethylene Packaging Film,Procurement
78001000,2025-08-02,EUR,-12948362.26,-1738035.2,Credit,45015,CC102,Injection Molding Machinery Spare Parts,Procurement
78001000,2025-04-06,EUR,-69634386.13,-9346897.47,Credit,45015,CC102,Injection Molding Machinery Spare Parts,Procurement
78001000,2025-04-05,EUR,-167539.64,-22488.54,Credit,42307,CC104,Automated Sorting System Components,Procurement
78001000,2025-05-23,EUR,3557772.76,477553.39,Debit,40721,CC108,Automated Sorting System Components,Procurement
78001000,2025-02-17,EUR,-11644917.76,-1563076.21,Credit,40721,CC104,Primary Cardboard Shipping Boxes,Procurement
78001000,2025-09-27,EUR,-13913743.04,-1867616.52,Credit,42307,CC105,Primary Cardboard Shipping Boxes,Procurement
78001000,2025-08-12,EUR,973120.66,130620.22,Debit,40721,CC101,Primary Cardboard Shipping Boxes,Procurement
78001000,2025-04-04,EUR,-1907691.41,-256065.96,Credit,40211,CC100,Printing Inks for Packaging,Procurement
78001000,2025-04-28,EUR,-22257.32,-2987.56,Credit,40211,CC100,Printing Inks for Packaging,Procurement
78001000,2025-01-06,EUR,-62593899.39,-8401865.69,Credit,40211,CC108,Printing Inks for Packaging,Procurement
