DocumentNumber,Date,Currency,AmountDKK,AmountEUR,Type,GLAccount,CostCenter,Department,ItemName,SourceType
78003000,2025-08-12,EUR,220289.31,29569.03,Debit,97086,CC104,Finance,888,Payroll
78003000,2025-02-24,EUR,8794.27,1180.44,Debit,92767,CC101,Marketing,131,Payroll
78003000,2025-10-24,EUR,14317.89,1921.86,Debit,92767,CC101,Marketing,131,Payroll
78003000,2025-09-05,EUR,-105830.69,-14205.46,Credit,97086,CC103,Production,170,Payroll
78003000,2025-10-02,EUR,-35801.67,-4805.59,Credit,97086,CC103,Production,170,Payroll
78003000,2025-03-18,EUR,-1740.42,-233.61,Credit,97086,CC103,Production,170,Payroll
78003000,2025-02-07,EUR,-419.66,-56.33,Credit,97086,CC103,Production,170,Payroll
78003000,2025-01-28,EUR,1246.23,167.28,Debit,92767,CC107,Supply Chain Management,170,Payroll
78003000,2025-01-22,EUR,3063.13,411.16,Debit,97086,CC103,Production,170,Payroll
78003000,2025-11-09,EUR,18164.08,2438.13,Debit,97086,CC107,Supply Chain Management,170,Payroll
78003000,2025-06-04,EUR,-44211.74,-5934.46,Credit,92767,CC104,Finance,176,Payroll
78003000,2025-09-19,EUR,2569.67,344.92,Debit,97086,CC103,Production,176,Payroll
78003000,2025-10-15,EUR,-35392.16,-4750.63,Credit,97086,CC107,Supply Chain Management,187,Payroll
78003000,2025-02-11,EUR,14438.26,1938.02,Debit,92767,CC106,Customer Support,187,Payroll
78003000,2025-03-19,EUR,37734.73,5065.06,Debit,92767,CC106,Customer Support,187,Payroll
78003000,2025-08-04,EUR,6311.12,847.13,Debit,97086,CC107,Supply Chain Management,187,Payroll
78003000,2025-12-13,EUR,1446.91,194.22,Debit,97086,CC106,Customer Support,196,Payroll
78003000,2025-11-09,EUR,-9887.37,-1327.16,Credit,97086,CC100,Research & Development,201,Payroll
78003000,2025-08-29,EUR,-40878.31,-5487.02,Credit,95842,CC108,IT Services,287,Payroll
78003000,2025-08-14,EUR,121.62,16.32,Debit,95842,CC101,Marketing,287,Payroll
