DocumentNumber,Date,Currency,AmountDKK,AmountEUR,Type,GLAccount,CostCenter,CustomerName,ItemName,SourceType
78002000,2025-06-01,EUR,23064342.97,3095884.96,Debit,36272,CC101,Educational Insights,LEGO Brick Separators,Product Sales
78002000,2025-10-08,EUR,-9819878.84,-1318104.54,Credit,36272,CC108,Educational Insights,LEGO Friends Playsets,Product Sales
78002000,2025-11-18,EUR,-2997133.57,-402299.81,Credit,36272,CC108,Educational Insights,LEGO Friends Playsets,Product Sales
78002000,2025-02-09,EUR,4419594.58,593234.17,Debit,36272,CC108,"Toys ""R"" Us",LEGO Friends Playsets,Product Sales
78002000,2025-10-26,EUR,361722.46,48553.35,Debit,36272,CC101,The LEGO Foundation,LEGO Technic Sets,Product Sales
78002000,2025-08-24,EUR,18420682.51,2472574.83,Debit,36272,CC108,Target,LEGO Harry Potter Sets,Product Sales
78002000,2025-01-12,EUR,8674790.39,1164401.39,Debit,36272,CC102,The LEGO Foundation,LEGO Harry Potter Sets,Product Sales
78002000,2025-02-21,EUR,-341606.43,-45853.21,Credit,36272,CC109,Walmart,LEGO Classic Brick Boxes,Product Sales
78002000,2025-06-15,EUR,-15550903.86,-2087369.65,Credit,36272,CC100,Smithsonian Institution,LEGO Classic Brick Boxes,Product Sales
78002000,2025-01-29,EUR,-9549397.17,-1281798.28,Credit,36272,CC100,Smithsonian Institution,LEGO Classic Brick Boxes,Product Sales
78002000,2025-02-08,EUR,18152208.28,2436538.02,Debit,36272,CC102,Carrefour,LEGO Classic Brick Boxes,Product Sales
78002000,2025-06-16,EUR,12471338.86,1674005.22,Debit,36272,CC106,Target,LEGO Classic Brick Boxes,Product Sales
78002000,2025-04-07,EUR,5227601.93,701691.53,Debit,36272,CC102,Carrefour,LEGO Classic Brick Boxes,Product Sales
78002000,2025-08-18,EUR,-9711204.32,-1303517.36,Credit,36272,CC103,Walmart,LEGO DUPLO Sets,Product Sales
78002000,2025-12-18,EUR,-3679945.99,-493952.48,Credit,36272,CC101,Walmart,LEGO DUPLO Sets,Product Sales
78002000,2025-04-01,EUR,-26319095.97,-3532764.56,Credit,36272,CC101,Educational Insights,LEGO DUPLO Sets,Product Sales
78002000,2025-11-23,EUR,4501230.49,604192.01,Debit,36272,CC102,Target,LEGO DUPLO Sets,Product Sales
78002000,2025-02-08,EUR,11439114.98,1535451.68,Debit,36272,CC102,Target,LEGO DUPLO Sets,Product Sales
78002000,2025-01-07,EUR,-1864777.79,-250305.74,Credit,36272,CC108,Amazon,LEGO Architecture Sets,Product Sales
78002000,2025-07-30,EUR,10461893.32,1404280.98,Debit,36272,CC100,"Toys ""R"" Us",LEGO Architecture Sets,Product Sales
78002000,2025-09-12,EUR,5388239.98,723253.69,Debit,36272,CC109,Carrefour,LEGO Architecture Sets,Product Sales
78002000,2025-08-30,EUR,1864777.79,250305.74,Debit,36272,CC109,Carrefour,LEGO Architecture Sets,Product Sales
78002000,2025-01-04,EUR,-1756433.12,-235762.83,Credit,36272,CC105,Educational Insights,LEGO Minecraft Playsets,Product Sales
78002000,2025-03-15,EUR,27723.42,3721.26,Debit,36272,CC100,Educational Insights,LEGO Minecraft Playsets,Product Sales
78002000,2025-07-29,EUR,169691.4,22777.37,Debit,36272,CC103,Hamleys,LEGO DOTS Kits,Product Sales
78002000,2025-02-24,EUR,-1979957.54,-265766.11,Credit,36272,CC104,Hamleys,LEGO Art Wall Sets,Product Sales
78002000,2025-01-05,EUR,-13203945.65,-1772341.7,Credit,36272,CC103,Smithsonian Institution,LEGO Art Wall Sets,Product Sales
78002000,2025-08-06,EUR,-12361.61,-1659.28,Credit,36272,CC109,"Toys ""R"" Us",LEGO Super Mario Playsets,Product Sales
78002000,2025-06-06,EUR,-9911759.64,-1330437.54,Credit,36272,CC106,John Lewis Partnership,LEGO Minifigure Blind Bags,Product Sales
78002000,2025-09-03,EUR,-4644454.99,-623416.78,Credit,36272,CC106,Walmart,LEGO Minifigure Blind Bags,Product Sales
78002000,2025-05-06,EUR,2369628.27,318070.91,Debit,36272,CC107,John Lewis Partnership,LEGO Minifigure Blind Bags,Product Sales
78002000,2025-06-12,EUR,-37674.82,-5057.02,Credit,36272,CC102,Smithsonian Institution,LEGO Icons Sets,Product Sales
78002000,2025-03-11,EUR,-240221.71,-32244.52,Credit,36272,CC102,Smithsonian Institution,LEGO Icons Sets,Product Sales
78002000,2025-04-17,EUR,1246427.67,167305.73,Debit,36272,CC100,"Toys ""R"" Us",LEGO Icons Sets,Product Sales
