ProcurementName,Proportionality
ABS Plastic Resin (Acrylonitrile Butadiene Styrene),29.92868059093225
High-Impact Polystyrene (HIPS),7.004584819154356
Polyethylene Packaging Film,5.6036678553234855
Injection Molding Machinery Spare Parts,4.966887417218543
Automated Sorting System Components,4.202750891492613
Silicone Rubber for Minifigure Accessories,3.6933265410086604
Custom Steel Molds for Bricks,3.3112582781456954
Boxboard Packaging Cartons,2.9291900152827304
Primary Cardboard Shipping Boxes,2.5471217524197662
Printing Inks for Packaging,2.2924095771777893
Thermal Transfer Barcode Labels,2.0376974019358127
Warehouse Conveyor Belts,1.9103413143148242
Shrink Wrap Film,1.6556291390728477
Robotic Arm Grippers & End Effectors,1.5282730514518597
Electric Motors for Assembly Lines,1.2735608762098831
Steel Pallets and Racking,1.2098828323993889
Automated Guided Vehicle (AGV) Batteries,1.0825267447784004
RFID Tags for Inventory Tracking,1.044319918492104
Industrial Cleaning Chemicals,1.0188487009679064
Mold Release Agents,0.9933774834437087
Safety Workwear (PPE),0.9806418746816099
Sensor Modules (for Automation),0.967906265919511
Industrial Adhesives & Solvents,0.9424350483953132
Compressed Air Filters and Hoses,0.9169638308711157
Machine Tooling Inserts,0.9042282221090168
Fire Suppression System Parts,0.8787570045848191
Circuit Boards for Machine Controls,0.8660213958227204
Replacement Conveyor Rollers,0.8532857870606216
HVAC Filters and Components,0.8405501782985227
Forklift Spare Parts,0.815078960774325
Safety Signage and Floor Markings,0.8023433520122263
Waste Management Bins & Bags,0.7896077432501274
Hydraulic Fluid for Machines,0.7768721344880286
First Aid Kit Supplies,0.7641365257259298
Industrial Batteries (General),0.7514009169638309
Employee Uniforms,0.7259296994396331
"Hand Tools (Screwdrivers, Wrenches, etc.)",0.7004584819154357
Lockout/Tagout Devices,0.674987264391238
Cleaning Cloths and Paper Towels,0.6113092205807439
Janitorial Paper Products,0.5858380030565461
Office Printer Toner Cartridges,0.5603667855323484
Copy Paper,0.49668874172185434
General Office Furniture,0.445746306673459
"Standard Office Stationery (Pens, Notebooks)",0.4075394803871625
Coffee and Breakroom Supplies,0.369332654100866
Water Dispensers and Bottled Water,0.33112582781456956
Office Waste Bins,0.30565461029037194
Desk Organizers,0.2801833927661742
Calendar and Wall Planners,0.22924095771777891
Batteries (AA/AAA),0.19103413143148246
