ItemName,GLAccount,GLAccountName,Department,CostCenter
131,92767,Pension Contributions,IT Services,CC108
131,97086,Salaries,Customer Support,CC106
131,92767,Pension Contributions,Marketing,CC101
170,92767,Pension Contributions,Supply Chain Management,CC107
170,97086,Salaries,Supply Chain Management,CC107
170,97086,Salaries,Production,CC103
176,92767,Pension Contributions,Marketing,CC101
176,97086,Salaries,Sales,CC102
176,92767,Pension Contributions,Supply Chain Management,CC107
176,92767,Pension Contributions,Finance,CC104
176,92767,Pension Contributions,Human Resources,CC105
176,97086,Salaries,Production,CC103
187,92767,Pension Contributions,Customer Support,CC106
187,97086,Salaries,Customer Support,CC106
187,97086,Salaries,Supply Chain Management,CC107
187,95842,Health Insurance,Supply Chain Management,CC107
196,97086,Salaries,Customer Support,CC106
196,92767,Pension Contributions,Production,CC103
196,92767,Pension Contributions,Sales,CC102
196,97086,Salaries,Human Resources,CC105
201,97086,Salaries,Research & Development,CC100
201,97086,Salaries,Production,CC103
201,92767,Pension Contributions,Sales,CC102
201,95842,Health Insurance,Sales,CC102
287,92767,Pension Contributions,Research & Development,CC100
287,97086,Salaries,Human Resources,CC105
287,95842,Health Insurance,Marketing,CC101
287,95842,Health Insurance,IT Services,CC108
287,95842,Health Insurance,Finance,CC104
287,95842,Health Insurance,IT Services,CC108
299,95842,Health Insurance,IT Services,CC108
299,97086,Salaries,Sales,CC102
299,97086,Salaries,Marketing,CC101
299,97086,Salaries,IT Services,CC108
299,95842,Health Insurance,Research & Development,CC100
299,92767,Pension Contributions,IT Services,CC108
313,95842,Health Insurance,Legal & Compliance,CC109
313,95842,Health Insurance,Production,CC103
313,95842,Health Insurance,Research & Development,CC100
313,95842,Health Insurance,IT Services,CC108
344,92767,Pension Contributions,Production,CC103
344,95842,Health Insurance,Research & Development,CC100
344,95842,Health Insurance,Research & Development,CC100
344,95842,Health Insurance,Research & Development,CC100
344,92767,Pension Contributions,Supply Chain Management,CC107
344,97086,Salaries,Finance,CC104
360,97086,Salaries,Supply Chain Management,CC107
360,95842,Health Insurance,Research & Development,CC100
360,92767,Pension Contributions,Sales,CC102
360,95842,Health Insurance,Human Resources,CC105
386,95842,Health Insurance,Sales,CC102
386,95842,Health Insurance,Production,CC103
386,97086,Salaries,IT Services,CC108
386,97086,Salaries,Legal & Compliance,CC109
389,97086,Salaries,Sales,CC102
389,92767,Pension Contributions,IT Services,CC108
389,95842,Health Insurance,Finance,CC104
389,97086,Salaries,IT Services,CC108
389,95842,Health Insurance,IT Services,CC108
399,97086,Salaries,Marketing,CC101
399,95842,Health Insurance,Finance,CC104
399,92767,Pension Contributions,Research & Development,CC100
429,92767,Pension Contributions,Legal & Compliance,CC109
429,97086,Salaries,Research & Development,CC100
429,92767,Pension Contributions,Marketing,CC101
429,97086,Salaries,IT Services,CC108
429,92767,Pension Contributions,IT Services,CC108
429,95842,Health Insurance,Finance,CC104
450,97086,Salaries,Customer Support,CC106
450,95842,Health Insurance,Customer Support,CC106
450,95842,Health Insurance,Sales,CC102
450,92767,Pension Contributions,Sales,CC102
452,97086,Salaries,Supply Chain Management,CC107
452,92767,Pension Contributions,Customer Support,CC106
452,97086,Salaries,Research & Development,CC100
461,92767,Pension Contributions,Sales,CC102
461,92767,Pension Contributions,Customer Support,CC106
461,97086,Salaries,Marketing,CC101
465,95842,Health Insurance,Human Resources,CC105
465,92767,Pension Contributions,Human Resources,CC105
465,95842,Health Insurance,Marketing,CC101
465,97086,Salaries,Supply Chain Management,CC107
465,97086,Salaries,Legal & Compliance,CC109
465,92767,Pension Contributions,IT Services,CC108
513,95842,Health Insurance,Human Resources,CC105
513,97086,Salaries,Supply Chain Management,CC107
513,97086,Salaries,Customer Support,CC106
513,92767,Pension Contributions,IT Services,CC108
513,97086,Salaries,Marketing,CC101
513,92767,Pension Contributions,IT Services,CC108
547,97086,Salaries,Human Resources,CC105
547,95842,Health Insurance,Marketing,CC101
547,95842,Health Insurance,Marketing,CC101
547,92767,Pension Contributions,IT Services,CC108
547,95842,Health Insurance,Customer Support,CC106
578,92767,Pension Contributions,Finance,CC104
578,97086,Salaries,IT Services,CC108
578,95842,Health Insurance,Production,CC103
578,92767,Pension Contributions,Customer Support,CC106
579,95842,Health Insurance,Finance,CC104
579,92767,Pension Contributions,Human Resources,CC105
590,92767,Pension Contributions,Supply Chain Management,CC107
590,97086,Salaries,Research & Development,CC100
618,95842,Health Insurance,Sales,CC102
618,95842,Health Insurance,Sales,CC102
618,97086,Salaries,Marketing,CC101
618,97086,Salaries,Legal & Compliance,CC109
618,95842,Health Insurance,Supply Chain Management,CC107
