ItemName,GLAccount,GLAccountName,CostCenter,CustomerName
LEGO City Playsets,36272,Sales Revenue,CC100,Educational Insights
LEGO City Playsets,36272,Sales Revenue,CC103,Smithsonian Institution
LEGO City Playsets,36272,Sales Revenue,CC108,Walmart
LEGO City Playsets,36272,Sales Revenue,CC103,"Toys ""R"" Us"
LEGO City Playsets,36272,Sales Revenue,CC107,Smithsonian Institution
LEGO Friends Playsets,36272,Sales Revenue,CC100,John Lewis Partnership
LEGO Friends Playsets,36272,Sales Revenue,CC109,Carrefour
LEGO Friends Playsets,36272,Sales Revenue,CC108,Educational Insights
LEGO Friends Playsets,36272,Sales Revenue,CC104,Hamleys
LEGO Friends Playsets,36272,Sales Revenue,CC108,"Toys ""R"" Us"
LEGO Technic Sets,36272,Sales Revenue,CC105,Walmart
LEGO Technic Sets,36272,Sales Revenue,CC102,Smithsonian Institution
LEGO Technic Sets,36272,Sales Revenue,CC100,Walmart
LEGO Technic Sets,36272,Sales Revenue,CC101,The LEGO Foundation
LEGO Technic Sets,36272,Sales Revenue,CC109,Amazon
LEGO Harry Potter Sets,36272,Sales Revenue,CC102,The LEGO Foundation
LEGO Harry Potter Sets,36272,Sales Revenue,CC100,"Toys ""R"" Us"
LEGO Harry Potter Sets,36272,Sales Revenue,CC103,Carrefour
LEGO Harry Potter Sets,36272,Sales Revenue,CC106,Hamleys
LEGO Harry Potter Sets,36272,Sales Revenue,CC108,Target
LEGO Harry Potter Sets,36272,Sales Revenue,CC101,Target
LEGO NINJAGO Playsets,36272,Sales Revenue,CC100,John Lewis Partnership
LEGO NINJAGO Playsets,36272,Sales Revenue,CC105,Hamleys
LEGO Classic Brick Boxes,36272,Sales Revenue,CC109,Walmart
LEGO Classic Brick Boxes,36272,Sales Revenue,CC100,Smithsonian Institution
LEGO Classic Brick Boxes,36272,Sales Revenue,CC102,Carrefour
LEGO Classic Brick Boxes,36272,Sales Revenue,CC106,Target
LEGO DUPLO Sets,36272,Sales Revenue,CC102,Target
LEGO DUPLO Sets,36272,Sales Revenue,CC103,Walmart
LEGO DUPLO Sets,36272,Sales Revenue,CC101,Walmart
LEGO DUPLO Sets,36272,Sales Revenue,CC105,Target
LEGO DUPLO Sets,36272,Sales Revenue,CC101,Educational Insights
LEGO Architecture Sets,36272,Sales Revenue,CC103,Educational Insights
LEGO Architecture Sets,36272,Sales Revenue,CC109,Carrefour
LEGO Architecture Sets,36272,Sales Revenue,CC109,Target
LEGO Architecture Sets,36272,Sales Revenue,CC108,Amazon
LEGO Architecture Sets,36272,Sales Revenue,CC100,"Toys ""R"" Us"
LEGO Speed Champions Sets,36272,Sales Revenue,CC109,Hamleys
LEGO Speed Champions Sets,36272,Sales Revenue,CC103,Smithsonian Institution
LEGO Minecraft Playsets,36272,Sales Revenue,CC100,Educational Insights
LEGO Minecraft Playsets,36272,Sales Revenue,CC105,Educational Insights
LEGO Minecraft Playsets,36272,Sales Revenue,CC104,Hamleys
LEGO Minecraft Playsets,36272,Sales Revenue,CC102,Target
LEGO DOTS Kits,36272,Sales Revenue,CC100,Carrefour
LEGO DOTS Kits,36272,Sales Revenue,CC103,Hamleys
LEGO DOTS Kits,36272,Sales Revenue,CC108,Target
LEGO DOTS Kits,36272,Sales Revenue,CC107,Amazon
LEGO Art Wall Sets,36272,Sales Revenue,CC103,Smithsonian Institution
LEGO Art Wall Sets,36272,Sales Revenue,CC104,Hamleys
LEGO Art Wall Sets,36272,Sales Revenue,CC104,Carrefour
LEGO Super Mario Playsets,36272,Sales Revenue,CC109,Walmart
LEGO Super Mario Playsets,36272,Sales Revenue,CC109,"Toys ""R"" Us"
LEGO Super Mario Playsets,36272,Sales Revenue,CC106,Target
LEGO Super Mario Playsets,36272,Sales Revenue,CC100,"Toys ""R"" Us"
LEGO Minifigure Blind Bags,36272,Sales Revenue,CC106,John Lewis Partnership
LEGO Minifigure Blind Bags,36272,Sales Revenue,CC101,Smithsonian Institution
LEGO Minifigure Blind Bags,36272,Sales Revenue,CC106,Walmart
LEGO Minifigure Blind Bags,36272,Sales Revenue,CC100,Smithsonian Institution
LEGO Minifigure Blind Bags,36272,Sales Revenue,CC107,John Lewis Partnership
LEGO Botanical Collection,36272,Sales Revenue,CC104,Target
LEGO Botanical Collection,36272,Sales Revenue,CC108,"Toys ""R"" Us"
LEGO Botanical Collection,36272,Sales Revenue,CC101,Amazon
LEGO Botanical Collection,36272,Sales Revenue,CC100,The LEGO Foundation
LEGO Icons Sets,36272,Sales Revenue,CC106,Hamleys
LEGO Icons Sets,36272,Sales Revenue,CC109,Educational Insights
LEGO Icons Sets,36272,Sales Revenue,CC102,Educational Insights
LEGO Icons Sets,36272,Sales Revenue,CC100,Educational Insights
LEGO Icons Sets,36272,Sales Revenue,CC100,"Toys ""R"" Us"
LEGO Icons Sets,36272,Sales Revenue,CC102,Smithsonian Institution
LEGO Ideas Sets,36272,Sales Revenue,CC108,John Lewis Partnership
LEGO Ideas Sets,36272,Sales Revenue,CC100,Target
LEGO Super Heroes DC Sets,36272,Sales Revenue,CC109,The LEGO Foundation
LEGO Super Heroes DC Sets,36272,Sales Revenue,CC100,John Lewis Partnership
LEGO BrickHeadz Figures,36272,Sales Revenue,CC100,Educational Insights
LEGO BrickHeadz Figures,36272,Sales Revenue,CC105,Amazon
LEGO BrickHeadz Figures,36272,Sales Revenue,CC106,Carrefour
LEGO BrickHeadz Figures,36272,Sales Revenue,CC104,Walmart
LEGO BrickHeadz Figures,36272,Sales Revenue,CC109,John Lewis Partnership
LEGO BrickHeadz Figures,36272,Sales Revenue,CC100,Target
LEGO Seasonal & Holiday Sets,36272,Sales Revenue,CC101,Target
LEGO Seasonal & Holiday Sets,36272,Sales Revenue,CC106,Target
LEGO Seasonal & Holiday Sets,36272,Sales Revenue,CC103,John Lewis Partnership
LEGO Seasonal & Holiday Sets,36272,Sales Revenue,CC101,Walmart
LEGO Seasonal & Holiday Sets,36272,Sales Revenue,CC101,Educational Insights
LEGO Collectible Minifigures Series,36272,Sales Revenue,CC104,Amazon
LEGO Collectible Minifigures Series,36272,Sales Revenue,CC104,Amazon
LEGO Accessories Packs,36272,Sales Revenue,CC106,Educational Insights
LEGO Accessories Packs,36272,Sales Revenue,CC109,"Toys ""R"" Us"
LEGO Accessories Packs,36272,Sales Revenue,CC102,Smithsonian Institution
LEGO Accessories Packs,36272,Sales Revenue,CC108,John Lewis Partnership
LEGO Accessories Packs,36272,Sales Revenue,CC103,Carrefour
LEGO Keychains,36272,Sales Revenue,CC109,Smithsonian Institution
LEGO Keychains,36272,Sales Revenue,CC104,Hamleys
LEGO Keychains,36272,Sales Revenue,CC109,Carrefour
LEGO Keychains,36272,Sales Revenue,CC106,"Toys ""R"" Us"
LEGO Keychains,36272,Sales Revenue,CC104,Amazon
LEGO Brick Separators,36272,Sales Revenue,CC100,John Lewis Partnership
LEGO Brick Separators,36272,Sales Revenue,CC100,John Lewis Partnership
LEGO Brick Separators,36272,Sales Revenue,CC101,John Lewis Partnership
LEGO Brick Separators,36272,Sales Revenue,CC101,Educational Insights
LEGO Education Kits,36272,Sales Revenue,CC105,The LEGO Foundation
LEGO Education Kits,36272,Sales Revenue,CC103,Educational Insights
LEGO Education Kits,36272,Sales Revenue,CC107,The LEGO Foundation
LEGO Education Kits,36272,Sales Revenue,CC102,Walmart
LEGO Gear & Apparel,36272,Sales Revenue,CC109,Amazon
LEGO Gear & Apparel,36272,Sales Revenue,CC104,Amazon
LEGO Gear & Apparel,36272,Sales Revenue,CC100,The LEGO Foundation
LEGO Puzzle and Board Games,36272,Sales Revenue,CC100,The LEGO Foundation
LEGO Puzzle and Board Games,36272,Sales Revenue,CC101,"Toys ""R"" Us"
LEGO Puzzle and Board Games,36272,Sales Revenue,CC104,The LEGO Foundation
LEGO Books & Magazines,36272,Sales Revenue,CC104,Educational Insights
LEGO Books & Magazines,36272,Sales Revenue,CC101,The LEGO Foundation
LEGO Books & Magazines,36272,Sales Revenue,CC107,Smithsonian Institution
LEGO Video Games,36272,Sales Revenue,CC104,Walmart
LEGO Video Games,36272,Sales Revenue,CC109,Smithsonian Institution
LEGO Video Games,36272,Sales Revenue,CC104,Carrefour
LEGO Video Games,36272,Sales Revenue,CC101,Amazon
LEGO Video Games,36272,Sales Revenue,CC101,Carrefour
LEGO Video Games,36272,Sales Revenue,CC108,Smithsonian Institution
LEGO Monkie Kid Playsets,36272,Sales Revenue,CC105,Walmart
LEGO Monkie Kid Playsets,36272,Sales Revenue,CC102,Hamleys
LEGO Monkie Kid Playsets,36272,Sales Revenue,CC106,John Lewis Partnership
LEGO Jurassic World Sets,36272,Sales Revenue,CC108,Amazon
LEGO Jurassic World Sets,36272,Sales Revenue,CC104,Walmart
LEGO Jurassic World Sets,36272,Sales Revenue,CC104,Educational Insights
LEGO Avatar Sets,36272,Sales Revenue,CC109,Smithsonian Institution
LEGO Avatar Sets,36272,Sales Revenue,CC102,Smithsonian Institution
LEGO Avatar Sets,36272,Sales Revenue,CC109,Target
LEGO Gift Cards,36272,Sales Revenue,CC105,John Lewis Partnership
LEGO Gift Cards,36272,Sales Revenue,CC103,Target
LEGO Stationery,36272,Sales Revenue,CC102,Smithsonian Institution
LEGO Stationery,36272,Sales Revenue,CC106,"Toys ""R"" Us"
