DocumentNumber,Date,Currency,AmountDKK,AmountEUR,Type,GLAccount,CostCenter,Department,ItemName,SourceType
78003000,2025-08-04,EUR,-230456.74,-30933.79,Credit,93454,CC101,Sales & Marketing,465,Payroll
78003000,2025-04-12,EUR,-133.2,-17.88,Credit,96169,CC108,Legal & Compliance,131,Payroll
78003000,2025-07-23,EUR,-41767.99,-5606.44,Credit,93454,CC103,Finance & Accounting,131,Payroll
78003000,2025-05-26,EUR,406541.28,54569.3,Debit,93454,CC103,Finance & Accounting,131,Payroll
78003000,2025-09-19,EUR,-128377.79,-17231.92,Credit,93454,CC104,Human Resources,170,Payroll
78003000,2025-08-15,EUR,-3041.31,-408.23,Credit,96064,CC100,Research & Development,170,Payroll
78003000,2025-12-24,EUR,28335.12,3803.37,Debit,96169,CC106,Supply Chain Management,176,Payroll
78003000,2025-10-13,EUR,5169.95,693.95,Debit,96064,CC107,Information Technology,176,Payroll
78003000,2025-03-09,EUR,-157248.66,-21107.2,Credit,96169,CC103,Finance & Accounting,187,Payroll
78003000,2025-01-25,EUR,-16864.69,-2263.72,Credit,96169,CC103,Finance & Accounting,187,Payroll
78003000,2025-03-03,EUR,1627.53,218.46,Debit,96064,CC105,Customer Support,187,Payroll
78003000,2025-05-24,EUR,-2884.51,-387.18,Credit,93454,CC102,Manufacturing,196,Payroll
78003000,2025-07-12,EUR,-81199.24,-10899.23,Credit,96169,CC108,Legal & Compliance,201,Payroll
78003000,2025-01-24,EUR,-428.85,-57.56,Credit,96064,CC104,Human Resources,201,Payroll
78003000,2025-02-18,EUR,-7081.22,-950.5,Credit,96064,CC108,Legal & Compliance,299,Payroll
78003000,2025-01-27,EUR,813.71,109.22,Debit,96064,CC109,Quality Assurance,299,Payroll
78003000,2025-11-18,EUR,2778.69,372.98,Debit,96064,CC103,Finance & Accounting,299,Payroll
78003000,2025-01-13,EUR,17256.93,2316.37,Debit,96064,CC109,Quality Assurance,299,Payroll
78003000,2025-01-09,EUR,-9305.26,-1249.03,Credit,96064,CC100,Research & Development,313,Payroll
78003000,2025-03-04,EUR,-108758.9,-14598.51,Credit,96064,CC100,Research & Development,313,Payroll
78003000,2025-08-15,EUR,1518.33,203.8,Debit,93454,CC104,Human Resources,313,Payroll
78003000,2025-10-13,EUR,12625.52,1694.7,Debit,96064,CC100,Research & Development,344,Payroll
78003000,2025-08-15,EUR,1770.79,237.69,Debit,96064,CC100,Research & Development,344,Payroll
