DocumentNumber,Date,Currency,AmountDKK,AmountEUR,Type,GLAccount,CostCenter,CustomerName,ItemName,SourceType
78002000,2025-11-07,DKK,1070077553.78,143634570.98,Debit,32307,CC102,Pattern Energy,Wind Turbine Maintenance Service Contract,Product Sales
78002000,2025-06-17,DKK,-632683278.94,-84923930.06,Credit,32307,CC103,Iberdrola,Utility-Scale Onshore Wind Turbine,Product Sales
78002000,2025-09-12,DKK,-675420804.71,-90660510.7,Credit,36629,CC107,Pattern Energy,Utility-Scale Onshore Wind Turbine,Product Sales
78002000,2025-03-09,DKK,73475434.84,9862474.48,Debit,32307,CC103,Iberdrola,Utility-Scale Onshore Wind Turbine,Product Sales
78002000,2025-10-13,DKK,56409241.28,7571710.24,Debit,32307,CC105,Acciona Energia,Utility-Scale Onshore Wind Turbine,Product Sales
78002000,2025-04-24,DKK,69392636.68,9314447.88,Debit,36629,CC107,Pattern Energy,Utility-Scale Onshore Wind Turbine,Product Sales
78002000,2025-07-01,DKK,-919543.96,-123428.72,Credit,35015,CC104,E.ON,Utility-Scale Offshore Wind Turbine,Product Sales
78002000,2025-11-07,DKK,-11924006.55,-1600537.79,Credit,32307,CC102,Pattern Energy,Wind Turbine Maintenance Service Contract,Product Sales
78002000,2025-01-19,DKK,4836279.38,649165.02,Debit,35015,CC100,General Electric,Wind Turbine Blades,Product Sales
78002000,2025-07-29,DKK,-6859810.35,-920779.91,Credit,36629,CC104,Acciona Energia,Wind Turbine Gearboxes,Product Sales
78002000,2025-03-28,DKK,-1667897.05,-223878.8,Credit,35015,CC106,Siemens Gamesa,Wind Turbine Gearboxes,Product Sales
78002000,2025-08-31,DKK,-30839385.24,-4139514.8,Credit,36629,CC108,Iberdrola,Wind Turbine Towers,Product Sales
78002000,2025-07-05,DKK,30839385.24,4139514.8,Debit,32307,CC106,Pattern Energy,Wind Turbine Towers,Product Sales
78002000,2025-02-09,DKK,188863.19,25350.76,Debit,32307,CC106,Pattern Energy,Wind Turbine Towers,Product Sales
78002000,2025-06-18,DKK,14289724.82,1918083.87,Debit,36629,CC101,Ørsted,Wind Turbine Control Systems,Product Sales
78002000,2025-11-18,DKK,-4416278.02,-592789.0,Credit,32307,CC102,E.ON,Remote Monitoring & Diagnostics Platform,Product Sales
