AccountKey,name,AccountType,AcSign,BudgetArea,GLLevel01,GLLevel02,GLLevel03,GLLevel04,GLLevel05,CFLevel01,CFLevel02,CFLevel03,CFLevel04,CFLevel05,CFLevel06,CFLevel07,CFLevel08
1001,Cash,B,1,,Balance Sheet,Assets,Current Assets,Cash,,,,,,,,,
1002,Finished Goods,B,1,Inventory,Balance Sheet,Assets,Current Assets,Inventory,Finished Goods,CashFlow,Cash flows From Operating Activities,Cash Generated From Operations,Working Capital,Current Assets,Inventory,Finished Goods,
1003,Raw Materials,B,1,Inventory,Balance Sheet,Assets,Current Assets,Inventory,Raw Materials,CashFlow,Cash flows From Operating Activities,Cash Generated From Operations,Working Capital,Current Assets,Inventory,Raw Materials,
1004,Work in Progress,B,1,Inventory,Balance Sheet,Assets,Current Assets,Inventory,Work in Progress,CashFlow,Cash flows From Operating Activities,Cash Generated From Operations,Working Capital,Current Assets,Inventory,Work in Progress,
1005,Allowance for Bad Debt,B,1,Other Working Capital,Balance Sheet,Assets,Current Assets,Receivables,Allowance for Bad Debt,CashFlow,Cash flows From Operating Activities,Cash Generated From Operations,Working Capital,Current Assets,Receivables,Allowance for Bad Debt,
1006,Intercompany Receivables,B,1,Inter Company,Balance Sheet,Assets,Current Assets,Receivables,Intercompany Receivables,CashFlow,Cash flows From Operating Activities,Cash Generated From Operations,Working Capital,Current Assets,Receivables,Intercompany Receivables,
1007,Other Receivables,B,1,Other Working Capital,Balance Sheet,Assets,Current Assets,Receivables,Other Receivables,CashFlow,Cash flows From Operating Activities,Cash Generated From Operations,Working Capital,Current Assets,Receivables,Other Receivables,
1008,Trade Receivables,B,1,Other Working Capital,Balance Sheet,Assets,Current Assets,Receivables,Trade Receivables,CashFlow,Cash flows From Operating Activities,Cash Generated From Operations,Working Capital,Current Assets,Receivables,Trade Receivables,
1009,Prepaid Expenses,B,1,Other Working Capital,Balance Sheet,Assets,Current Assets,Prepaid Expenses,,CashFlow,Cash flows From Operating Activities,Cash Generated From Operations,Working Capital,Current Assets,Prepaid Expenses,,
1501,Land & Improvements,B,1,PPE,Balance Sheet,Assets,"Property, Plant, Equipment",Land & Improvements,,,,,,,,,
