name,proportionality,unit_price
Utility-Scale Biomethane Production Systems,0.1023688663282572,18750000
On-Site Biogas Generation Plants,0.077834179357022,15200000
Bulk Biomethane Sales (Grid Injection),0.0490693739424704,9300000
Anaerobic Digester Systems,0.0456852791878172,8500000
Organic Waste-to-Energy Solutions,0.0431472081218274,7900000
Biofertilizer Concentrate (Bulk),0.0355329949238578,145000
Slurry Processing & Separation Systems,0.032994923857868,6900000
Heat Recovery & Distribution Modules,0.0313028764805414,3200000
Industrial CO2 Capture Equipment,0.0304568527918781,5100000
Food Waste Collection Contracts,0.0287648054145516,1800000
Biogas Purification Membrane Modules,0.0245346869712352,2600000
Agricultural Residue Supply Contracts,0.021150592216582,2500000
Renewable Thermal Energy Supply,0.0203045685279187,4100000
Digestate Dewatering Equipment,0.0186125211505922,860000
Biohydrogen Pilot Units,0.0177664974619289,5100000
Electricity Sales (Renewable Grid Feed-In),0.0169204737732656,2200000
Organic Fertilizer Pellets (Bulk),0.0160744500846023,78000
District Heating Supply Packages,0.015228426395939,2900000
Digestate Logistics & Transport Service,0.0143824027072758,540000
Remote Site Monitoring Subscriptions,0.0135363790186125,18000
Plant Operations & Maintenance Contracts,0.0135363790186125,370000
Pre-Processing Shredders & Feeders,0.0126903553299492,650000
Utility Data Analytics Services,0.0118443316412859,80000
Gas Compression & Injection Skids,0.0109983079526226,720000
Feedstock Supply Chain Management,0.0109983079526226,440000
Organic Waste Collection Bins,0.0101522842639593,950
Digestate Filtration Units,0.0101522842639593,220000
Feedstock Pre-Treatment Chemicals,0.0093062605752961,6000
Renewable Gas Certificates,0.0084602368866328,4500
Emission Reduction Consulting,0.0084602368866328,120000
Safety & Compliance Auditing Services,0.0076142131979695,52000
Utility-Scale Gas Meters (Calibrated),0.0076142131979695,85000
Mobile Biogas Analysis Kits,0.0076142131979695,18000
Maintenance Spare Parts Packages,0.0067681895093062,32000
SCADA System Licenses & Support,0.0067681895093062,55000
Industrial Odor Control Systems,0.0059221658206429,116000
Flaring Systems (Emergency),0.0059221658206429,140000
Remote Technical Support Subscriptions,0.0059221658206429,8000
Substrate Testing & Laboratory Analysis,0.0050761421319796,5500
Biogas Sampling & Sensor Equipment,0.0050761421319796,21000
Sludge Thickening Units,0.0050761421319796,40000
Compressed Bio-CNG Cylinders,0.0050761421319796,2600
Process Optimization Consulting,0.0050761421319796,48000
Gas Tight Storage Covers,0.0042301184433164,15000
Industrial Valve Assemblies,0.0042301184433164,8000
Gas Leak Detection Services,0.0042301184433164,9000
