vendor_id,name,vendor_segment,proportionality
20,BASF Plastics,Raw Materials,0.09397372761553857
21,Covestro,Raw Materials,0.07228748278118355
22,Lanxess Pigments,Raw Materials,0.036143741390591774
23,Evonik Additives,Raw Materials,0.028914993112473406
24,Solvay Specialty Polymers,Raw Materials,0.021686244834355026
25,Clariant Masterbatches,Raw Materials,0.014457496556236654
26,Avient Colorants,Raw Materials,0.010843122417177513
27,AkzoNobel Coatings,Raw Materials,0.008674497933741957
28,Perstorp AB,Raw Materials,0.007228748278118281
29,Sika Adhesives,Raw Materials,0.005782998622494608
30,ENGEL Group,Equipment,0.036143741390591774
31,Arburg GmbH,Equipment,0.03252936725153254
32,Sumitomo (SHI) Demag,Equipment,0.030360742768097082
33,KraussMaffei,Equipment,0.02530061897341417
34,Netstal Machinery,Equipment,0.014457496556236654
35,Motan Colortronic,Equipment,0.013011746900612981
36,Wittmann Battenfeld,Equipment,0.010843122417177513
37,Piovan Group,Equipment,0.010120247589365633
38,KUKA Robotics,Equipment,0.00939737276155384
39,Fanuc Robotics,Equipment,0.008674497933741957
40,Siemens Industry,Equipment,0.007228748278118281
41,Schneider Electric,Equipment,0.005060123794682817
42,SAP Denmark,IT Services,0.021686244834355026
43,Microsoft Azure,IT Services,0.020240495178731357
44,IBM Cloud Services,IT Services,0.01590324621186033
45,Deloitte IT Solutions,IT Services,0.010843122417177513
46,NNIT A/S,IT Services,0.008674497933741957
47,Tata Consultancy Services,IT Services,0.007228748278118281
48,Netcompany Group,IT Services,0.005782998622494608
49,Kuehne + Nagel,Logistics,0.026746368629037846
50,Blue Water Shipping,Logistics,0.018071870695295887
51,Danske Fragtmænd,Logistics,0.013734621728424865
52,FedEx Express,Logistics,0.007228748278118281
53,DHL Supply Chain,Logistics,0.006505873450306491
54,Copenhagen Malmö Port,Logistics,0.005060123794682817
55,ISS Facility Services,Facilities,0.028914993112473406
56,Sodexo Danmark,Facilities,0.017348995867484004
57,Initial Denmark,Facilities,0.00939737276155384
58,HedeDanmark Landscaping,Facilities,0.007228748278118281
59,Kone Elevators,Facilities,0.0043372489668709316
60,Lyreco Nordic,Office Supplies,0.008674497933741957
61,Staples Denmark,Office Supplies,0.007951623105930165
62,Dansk Kontorcenter,Office Supplies,0.005782998622494608
63,Viking Direct,Office Supplies,0.005060123794682817
64,BIC Nordic,Office Supplies,0.0036143741390591406
65,Adecco Denmark,Contract Labor,0.013011746900612981
66,ManpowerGroup Denmark,Contract Labor,0.011565997244989306
67,Randstad,Contract Labor,0.010120247589365633
68,ProData Consult,Contract Labor,0.007228748278118281
69,Moment A/S,Contract Labor,0.005782998622494608
70,Hartmanns A/S,Contract Labor,0.005060123794682817
71,Mercuri Urval,Consulting,0.018071870695295887
72,Boston Consulting Group,Consulting,0.01590324621186033
73,PwC Denmark,Consulting,0.013734621728424865
74,EY Advisory,Consulting,0.012288872072801188
75,McKinsey & Company,Consulting,0.010120247589365633
76,KPMG Advisory,Consulting,0.008674497933741957
77,Ramboll Management,Consulting,0.005782998622494608
78,Valcon A/S,Consulting,0.005060123794682817
79,Bain & Company,Consulting,0.0043372489668709316
80,LEGO_DK_DESIGN,Intercompany,0.009346399240267464
81,LEGO_DK_EDU,Intercompany,0.009346399240267464
82,LEGO_DK_TOUR,Intercompany,0.009346399240267464
83,LEGO_SE_LOGISTICS,Intercompany,0.009346399240267464
84,LEGO_SE_THEME,Intercompany,0.009346399240267464
85,LEGO_DE_ASSEMBLY,Intercompany,0.009346399240267464
86,LEGO_DE_ENGINEERING,Intercompany,0.009346399240267464
87,LEGO_US_DIGITAL,Intercompany,0.009346399240267464
88,LEGO_US_PACKAGING,Intercompany,0.009346399240267464
