document_number,debit_credit,date,amount,quantity,account_id,product_id,procurement_id,service_id,vendor_id,customer_id
BUDG78001006,Credit,2021-01-01,-34700.0,142.0,COGS - Raw Materials,,Keyboard & mouse sets,,GreenLeaf Biomass,
BUDG78001035,Credit,2021-01-01,-19400.0,33956.0,IT Systems & Licenses,,,Annual Intranet Platform License,MetaProcess IT,
BUDG78001084,Debit,2021-01-01,30400.0,1.0,10721,,,,,
BUDG78001084,Debit,2021-01-01,91000.0,2.0,12071,,,,,
BUDG78001084,Debit,2021-01-01,3800.0,1.0,12307,,,,,
BUDG78001084,Debit,2021-01-01,17900.0,1.0,12767,,,,,
BUDG78001084,Debit,2021-01-01,116600.0,1.0,15842,,,,,
BUDG78001084,Debit,2021-01-01,233500.0,1.0,16272,,,,,
BUDG78001084,Debit,2021-01-01,18400.0,1.0,16629,,,,,
BUDG78001084,Debit,2021-01-01,78700.0,1.0,17086,,,,,
BUDG78001084,Debit,2021-01-01,36100.0,1.0,23454,,,,,
BUDG78001084,Debit,2021-01-01,7800.0,1.0,37097,,,,,
BUDG78001084,Debit,2021-01-01,27000.0,1.0,41645,,,,,
BUDG78001084,Debit,2021-01-01,24100.0,1.0,45399,,,,,
BUDG78001084,Debit,2021-01-01,8000.0,1.0,48510,,,,,
BUDG78001084,Debit,2021-01-01,100100.0,1.0,48685,,,,,
BUDG78001084,Debit,2021-01-01,67100.0,1.0,59094,,,,,
BUDG78001084,Credit,2021-01-01,-100.0,1,COGS - Raw Materials,,Sample collection bottles,,EcoPolymers Inc.,
BUDG78001124,Credit,2021-01-01,-26200.0,3.0,COGS - Equipment Maintenance,,Uninterruptible power supplies (UPS),,ProcessPro Systems,
BUDG78001129,Credit,2021-01-01,-107000.0,80727.0,IT Systems & Licenses,,,Microsoft 365 Enterprise License,MetaProcess IT,
BUDG78001164,Credit,2021-01-01,-1204600.0,62157.0,Facility Rent,,,Data Center Hosting,FlexiSpace Facilities,
BUDG78001168,Credit,2021-01-01,-1172400.0,2553.0,COGS - Raw Materials,,Industrial-grade fasteners (bolts/nuts),,EastField Minerals,
BUDG78001190,Credit,2021-01-01,-13200.0,216222.0,IT Systems & Licenses,,,Annual Plant License Sticker Fee,MetaProcess IT,
BUDG78001201,Credit,2021-01-01,-1936300.0,158.0,COGS - Raw Materials,,Power distribution panels,,ProcessPro Systems,
BUDG78001203,Credit,2021-01-01,-177000.0,96387.0,Service Delivery - Subcontracted Technicians,,,Regulatory Affairs Consulting,Sustainalyze Consulting,
BUDG78001255,Debit,2021-01-01,1500.0,1.0,10721,,,,,
BUDG78001255,Debit,2021-01-01,32100.0,1.0,12773,,,,,
BUDG78001255,Debit,2021-01-01,20100.0,2.0,15015,,,,,
BUDG78001255,Debit,2021-01-01,300.0,1.0,15842,,,,,
BUDG78001255,Debit,2021-01-01,400.0,1.0,16272,,,,,
BUDG78001255,Debit,2021-01-01,1100.0,1.0,23454,,,,,
BUDG78001255,Debit,2021-01-01,25600.0,1.0,35814,,,,,
BUDG78001255,Debit,2021-01-01,1200.0,1.0,36344,,,,,
BUDG78001255,Debit,2021-01-01,16600.0,1.0,41645,,,,,
BUDG78001255,Debit,2021-01-01,4600.0,2.0,54857,,,,,
BUDG78001255,Credit,2021-01-01,-74000.0,39225.0,Service Delivery - Field Engineer Travel,,,Customs & Import Advisory Fee,DataDriven Bio Advisory,
BUDG78001263,Debit,2021-01-01,1400.0,1.0,12307,,,,,
BUDG78001263,Debit,2021-01-01,4200.0,2.0,15015,,,,,
BUDG78001263,Debit,2021-01-01,1900.0,1.0,17086,,,,,
BUDG78001263,Debit,2021-01-01,2900.0,1.0,23454,,,,,
BUDG78001263,Debit,2021-01-01,23000.0,1.0,26064,,,,,
BUDG78001263,Debit,2021-01-01,14900.0,1.0,32395,,,,,
BUDG78001263,Debit,2021-01-01,54400.0,3.0,45399,,,,,
BUDG78001263,Debit,2021-01-01,300.0,1.0,48685,,,,,
BUDG78001263,Debit,2021-01-01,5700.0,1.0,52432,,,,,
BUDG78001263,Debit,2021-01-01,800.0,1.0,59094,,,,,
BUDG78001263,Credit,2021-01-01,-111000.0,60452.0,Service Delivery - Subcontracted Technicians,,,Regulatory Affairs Consulting,Sustainalyze Consulting,
BUDG78001299,Credit,2021-01-01,-170500.0,7.0,COGS - Raw Materials,,Industrial fans/blowers,,ProcessPro Systems,
BUDG78001399,Debit,2021-01-01,1300.0,1.0,12773,,,,,
BUDG78001399,Debit,2021-01-01,900.0,1.0,15015,,,,,
BUDG78001399,Debit,2021-01-01,2100.0,1.0,17086,,,,,
BUDG78001399,Debit,2021-01-01,2100.0,1.0,23454,,,,,
