document_number,date,currency,amount,quantity,type,account_id,account_name,product_id,procurement_id,service_id,vendor_name
78002510,2022-08-05,DKK,-21666390.76,22108.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002876,2023-10-20,DKK,-8435465.4,8607.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002554,2024-07-25,EUR,-1935647.04,1975.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001486,2025-10-14,EUR,-14446853.33,14741.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001150,2022-06-30,DKK,-20237740.9,20650.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002382,2021-01-25,DKK,-3918277.87,3998.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001367,2020-03-23,EUR,-13628771.43,13906.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002643,2022-09-29,DKK,-8621680.22,8797.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002070,2021-04-25,EUR,-23669071.48,24152.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001206,2022-02-15,DKK,-3246923.11,3313.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002898,2024-10-20,EUR,-1229770.49,1254.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001449,2023-06-02,EUR,-13933.38,14.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002506,2023-02-10,EUR,-15525028.98,15841.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002970,2024-03-15,DKK,-241808.17,246.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002875,2025-03-26,EUR,-11817362.6,12058.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001923,2021-06-06,EUR,-40005.87,40.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002663,2025-04-16,DKK,-4406154.32,4496.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001696,2024-08-21,EUR,-9607570.98,9803.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001569,2022-01-11,EUR,-3996790.92,4078.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001142,2020-10-04,DKK,-13411108.1,13684.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002423,2020-05-27,EUR,-9625.67,9.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002120,2022-02-16,DKK,-16743823.09,17085.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002070,2023-01-11,DKK,-2504934.86,2556.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001190,2021-02-22,DKK,-366546.39,374.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001139,2023-03-02,DKK,-4560866.5,4653.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001614,2022-07-28,DKK,-7195626.37,7342.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002254,2025-07-12,DKK,-43412306.03,44298.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002962,2024-06-15,DKK,-4655908.01,4750.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002363,2020-08-29,EUR,-2637065.07,2690.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78001924,2022-09-25,EUR,-1897942.67,1936.0,Credit,49148,COGS - Materials,,Wood chips (locally sourced),,EcoSynth Solutions
78002514,2023-05-08,EUR,-2647.3,2.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002072,2023-05-27,DKK,-27041.84,23.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002922,2024-12-22,EUR,-16044127.07,13951.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001623,2025-01-26,EUR,-3088321.61,2685.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002476,2021-11-14,DKK,-383332.71,333.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002339,2023-11-12,EUR,-2029260.0,1764.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002345,2023-05-17,DKK,-1793228.03,1559.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001086,2021-09-08,DKK,-3234886.2,2812.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002917,2025-07-20,EUR,-6099840.06,5304.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002497,2025-09-04,EUR,-63634.93,55.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001281,2025-10-27,EUR,-8981.17,7.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002862,2022-10-08,EUR,-31179050.58,27112.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001763,2025-07-10,DKK,-1925371.3,1674.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002097,2020-05-07,EUR,-2683373.64,2333.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001452,2021-02-16,EUR,-31597047.18,27475.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001046,2025-12-24,DKK,-40394359.33,35125.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002611,2023-09-19,DKK,-489842.85,425.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002119,2021-07-24,DKK,-129778.34,112.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001937,2020-05-20,DKK,-113975.08,99.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001030,2025-04-23,EUR,-64757.82,56.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001533,2020-02-20,EUR,-15048105.71,13085.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001016,2023-11-29,DKK,-12668362.0,11015.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002235,2023-09-22,EUR,-178421.5,155.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002683,2020-12-31,DKK,-5384293.56,4681.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002258,2025-04-18,DKK,-8541300.79,7427.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001391,2025-06-26,EUR,-1016425.19,883.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002006,2020-09-14,EUR,-9184642.75,7986.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001353,2020-02-14,EUR,-1768474.62,1537.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78001304,2020-09-25,DKK,-1484153.84,1290.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002622,2023-08-27,DKK,-16340963.01,14209.0,Credit,49148,COGS - Materials,,Biogas feedstock (organic waste),,EcoSynth Solutions
78002573,2021-11-02,DKK,-13640018.89,12990.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002588,2023-07-25,EUR,-201565.04,191.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002563,2025-06-12,EUR,-4839063.31,4608.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002612,2020-08-22,DKK,-1941473.21,1849.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002948,2024-01-08,EUR,-1932554.52,1840.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001508,2023-11-18,EUR,-52065747.58,49586.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001711,2022-09-20,EUR,-8083106.79,7698.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002418,2020-10-01,EUR,-1629508.62,1551.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002454,2022-06-28,EUR,-9597415.48,9140.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001684,2021-03-15,DKK,-16659490.64,15866.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001785,2022-12-22,EUR,-157668.39,150.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002585,2025-03-11,EUR,-62794.22,59.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001856,2024-10-16,DKK,-3695032.33,3519.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001176,2022-05-21,DKK,-2333999.28,2222.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002429,2021-10-12,DKK,-387541.64,369.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001300,2020-02-03,EUR,-134078.49,127.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001444,2022-05-16,EUR,-100350.16,95.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002762,2022-04-11,DKK,-11119129.04,10589.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002150,2023-01-15,DKK,-136418.96,129.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002372,2021-04-06,EUR,-2655025.54,2528.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001020,2025-10-29,EUR,-18622233.75,17735.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002015,2020-11-17,DKK,-15491001.4,14753.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001710,2021-02-18,DKK,-3411011.74,3248.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001700,2025-02-17,EUR,-234361.75,223.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002867,2023-06-10,DKK,-2443.25,2.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002443,2020-06-16,DKK,-60084.73,57.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001151,2023-03-19,EUR,-261798.14,249.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002183,2023-11-10,DKK,-13333257.79,12698.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78001858,2025-01-06,DKK,-1547227.04,1473.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002503,2025-07-17,DKK,-947598.26,902.0,Credit,49148,COGS - Materials,,Pelletized biomass,,NextGen Biomass
78002466,2024-06-28,EUR,-745.96,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78001095,2022-06-16,EUR,-9405.93,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002375,2025-10-10,EUR,-1410351.16,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002098,2022-05-11,EUR,-27498.74,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78001877,2020-05-29,EUR,-2131672.37,1.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002617,2025-12-03,EUR,-1043246.07,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78001639,2022-04-03,DKK,-1771665.23,1.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002382,2025-10-13,DKK,-10428.91,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002156,2023-12-23,EUR,-13837550.43,9.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78001399,2023-12-24,EUR,-1048373.72,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
78002162,2020-11-01,EUR,-388503.11,0.0,Credit,49148,COGS - Materials,,Combined Heat and Power (CHP) modules,,BioFlow Machinery
