document_number,debit_credit,date,amount,quantity,account_id,product_id,procurement_id,service_id,vendor_id,customer_id
BUDG78001008,Debit,2021-01-01,25500.0,1.0,Accessories Inventory,,,,,
BUDG78001008,Debit,2021-01-01,151700.0,1.0,Doubtful Accounts Provision,,,,,
BUDG78001008,Debit,2021-01-01,22400.0,2.0,Employee Advances,,,,,
BUDG78001008,Debit,2021-01-01,102100.0,1.0,Inventory New Vehicles,,,,,
BUDG78001008,Debit,2021-01-01,166800.0,2.0,Other Prepaid Expenses,,,,,
BUDG78001008,Debit,2021-01-01,4000.0,1.0,Other Tax Receivables,,,,,
BUDG78001008,Debit,2021-01-01,269700.0,2.0,Prepaid Insurance,,,,,
BUDG78001008,Debit,2021-01-01,98500.0,3.0,Restricted Cash,,,,,
BUDG78001008,Credit,2021-01-01,-6000.0,5731.0,Service Subcontractors,,,Annual Postal License Fee,PostNord Danmark A/S,
BUDG78001008,Debit,2021-01-01,34300.0,1.0,Trade Payables,,,,,
BUDG78001008,Debit,2021-01-01,1000.0,1.0,Trade Receivables,,,,,
BUDG78001015,Debit,2021-01-01,4900.0,1.0,Accessories Inventory,,,,,
BUDG78001015,Credit,2021-01-01,-5000.0,617.0,COGS Spare Parts,,Toilet paper,,Lyreco Danmark A/S,
BUDG78001015,Debit,2021-01-01,147100.0,2.0,Employee Advances,,,,,
BUDG78001015,Debit,2021-01-01,214800.0,1.0,Inventory New Vehicles,,,,,
BUDG78001015,Debit,2021-01-01,117400.0,1.0,Other Prepaid Expenses,,,,,
BUDG78001015,Debit,2021-01-01,94000.0,1.0,Prepaid Insurance,,,,,
BUDG78001015,Debit,2021-01-01,124100.0,1.0,Prepaid Rent,,,,,
BUDG78001015,Debit,2021-01-01,197300.0,2.0,Short-term Deposits,,,,,
BUDG78001015,Debit,2021-01-01,241600.0,2.0,Trade Payables,,,,,
BUDG78001015,Debit,2021-01-01,184400.0,1.0,Trade Receivables,,,,,
BUDG78001015,Debit,2021-01-01,213300.0,4.0,VAT Payable,,,,,
BUDG78001075,Credit,2021-01-01,-100.0,34.0,Legal and Audit Fees,,,Annual Legal Compliance Training,PwC Danmark,
BUDG78001078,Debit,2021-01-01,246400.0,1.0,Accessories Inventory,,,,,
BUDG78001078,Debit,2021-01-01,55600.0,1.0,Doubtful Accounts Provision,,,,,
BUDG78001078,Credit,2021-01-01,-522700.0,346236.0,IT Maintenance & Support,,,Annual E-learning Platform Subscription,IT Relation A/S,
BUDG78001078,Debit,2021-01-01,326800.0,1.0,Other Prepaid Expenses,,,,,
BUDG78001078,Debit,2021-01-01,270000.0,1.0,Other Tax Receivables,,,,,
BUDG78001078,Debit,2021-01-01,560800.0,3.0,Prepaid Insurance,,,,,
BUDG78001078,Debit,2021-01-01,957800.0,2.0,Restricted Cash,,,,,
BUDG78001078,Debit,2021-01-01,144600.0,1.0,Spare Parts Inventory,,,,,
BUDG78001078,Debit,2021-01-01,243400.0,1.0,Trade Payables,,,,,
BUDG78001078,Debit,2021-01-01,293000.0,2.0,Trade Receivables,,,,,
BUDG78001078,Debit,2021-01-01,361700.0,1.0,VAT Payable,,,,,
BUDG78001124,Credit,2021-01-01,-83800.0,46402.0,Customer Loyalty Program Costs,,,Annual Customer Satisfaction Survey,PwC Danmark,
BUDG78001142,Debit,2021-01-01,25000.0,1.0,Accessories Inventory,,,,,
BUDG78001142,Debit,2021-01-01,56100.0,3.0,Doubtful Accounts Provision,,,,,
BUDG78001142,Debit,2021-01-01,3500.0,1.0,Inventory New Vehicles,,,,,
BUDG78001142,Debit,2021-01-01,900.0,1.0,Other Prepaid Expenses,,,,,
BUDG78001142,Debit,2021-01-01,28200.0,2.0,Other Tax Receivables,,,,,
BUDG78001142,Debit,2021-01-01,79200.0,1.0,Prepaid Insurance,,,,,
BUDG78001142,Debit,2021-01-01,32200.0,3.0,Restricted Cash,,,,,
BUDG78001142,Credit,2021-01-01,-1000.0,1276.0,Service Subcontractors,,,Annual Local Business License Fee,Valeo Service Denmark,
BUDG78001142,Credit,2021-01-01,-158500.0,47826.0,Service Subcontractors,,,Data Privacy Consulting,Boston Consulting Group Denmark,
BUDG78001142,Debit,2021-01-01,20400.0,1.0,Short-term Deposits,,,,,
BUDG78001142,Debit,2021-01-01,500.0,1.0,Spare Parts Inventory,,,,,
BUDG78001142,Debit,2021-01-01,29400.0,2.0,Trade Payables,,,,,
BUDG78001142,Debit,2021-01-01,77400.0,2.0,Trade Receivables,,,,,
BUDG78001169,Debit,2021-01-01,768300.0,2.0,Accessories Inventory,,,,,
BUDG78001169,Credit,2021-01-01,-201600.0,50.0,COGS New Vehicles Purchase,,Lease payments (vehicles),,Volkswagen AG,
BUDG78001169,Debit,2021-01-01,48400.0,1.0,Doubtful Accounts Provision,,,,,
BUDG78001169,Debit,2021-01-01,619900.0,1.0,Inventory New Vehicles,,,,,
BUDG78001169,Debit,2021-01-01,459900.0,1.0,Other Prepaid Expenses,,,,,
BUDG78001169,Debit,2021-01-01,687700.0,3.0,Other Tax Receivables,,,,,
BUDG78001169,Debit,2021-01-01,308300.0,1.0,Prepaid Insurance,,,,,
BUDG78001169,Debit,2021-01-01,382900.0,1.0,Restricted Cash,,,,,
BUDG78001169,Debit,2021-01-01,530400.0,3.0,Trade Receivables,,,,,
BUDG78001169,Debit,2021-01-01,392900.0,2.0,VAT Payable,,,,,
BUDG78001177,Credit,2021-01-01,-9200.0,7679.0,Bank Charges,,,Annual Company Credit Card Fee,Danske Bank A/S,
BUDG78001186,Credit,2021-01-01,-329900.0,63.0,COGS Spare Parts,,Access control systems,,G4S Danmark A/S,
BUDG78001199,Debit,2021-01-01,79100.0,1.0,Accessories Inventory,,,,,
BUDG78001199,Credit,2021-01-01,-182000.0,5946.0,COGS New Vehicles Purchase,,Cafeteria supplies,,Compass Group Danmark,
BUDG78001199,Debit,2021-01-01,104600.0,2.0,Employee Advances,,,,,
BUDG78001199,Debit,2021-01-01,138600.0,1.0,Other Prepaid Expenses,,,,,
BUDG78001199,Debit,2021-01-01,430300.0,1.0,Other Tax Receivables,,,,,
BUDG78001199,Debit,2021-01-01,131900.0,2.0,Prepaid Rent,,,,,
BUDG78001199,Debit,2021-01-01,140700.0,1.0,Trade Payables,,,,,
BUDG78001236,Credit,2021-01-01,-2409600.0,1968.0,COGS Spare Parts,,Engine oil (barrels),,Volkswagen AG,
BUDG78001236,Debit,2021-01-01,131900.0,1.0,Doubtful Accounts Provision,,,,,
BUDG78001236,Debit,2021-01-01,259600.0,2.0,Inventory New Vehicles,,,,,
BUDG78001236,Debit,2021-01-01,313800.0,3.0,Other Prepaid Expenses,,,,,
BUDG78001236,Debit,2021-01-01,165900.0,1.0,Prepaid Insurance,,,,,
