document_number,debit_credit,date,amount,quantity,account_id,product_id,procurement_id,service_id,vendor_id,customer_id
BUDG78001009,Credit,2021-01-01,-80200.0,4370.0,422,-1,818,-1,450,-1
BUDG78001020,Debit,2021-01-01,7008500.0,1.0,407,-1,-1,-1,-1,-1
BUDG78001020,Debit,2021-01-01,1302600.0,1.0,400,-1,-1,-1,-1,-1
BUDG78001020,Debit,2021-01-01,5754300.0,1.0,408,-1,-1,-1,-1,-1
BUDG78001020,Debit,2021-01-01,1063700.0,1.0,404,-1,-1,-1,-1,-1
BUDG78001020,Debit,2021-01-01,1068000.0,1.0,391,-1,-1,-1,-1,-1
BUDG78001020,Debit,2021-01-01,1016700.0,1.0,390,-1,-1,-1,-1,-1
BUDG78001020,Debit,2021-01-01,5204600.0,1.0,393,-1,-1,-1,-1,-1
BUDG78001020,Credit,2021-01-01,-21922300.0,767.0,421,-1,729,-1,411,-1
BUDG78001022,Debit,2021-01-01,224600.0,1.0,401,-1,-1,-1,-1,-1
BUDG78001022,Debit,2021-01-01,66100.0,1.0,400,-1,-1,-1,-1,-1
BUDG78001022,Debit,2021-01-01,402900.0,2.0,387,-1,-1,-1,-1,-1
BUDG78001022,Debit,2021-01-01,716600.0,1.0,391,-1,-1,-1,-1,-1
BUDG78001022,Debit,2021-01-01,235000.0,2.0,409,-1,-1,-1,-1,-1
BUDG78001022,Debit,2021-01-01,187100.0,1.0,389,-1,-1,-1,-1,-1
BUDG78001022,Credit,2021-01-01,-57100.0,2.0,423,-1,794,-1,437,-1
BUDG78001022,Debit,2021-01-01,327300.0,1.0,394,-1,-1,-1,-1,-1
BUDG78001022,Debit,2021-01-01,67900.0,2.0,386,-1,-1,-1,-1,-1
BUDG78001022,Debit,2021-01-01,10200.0,1.0,405,-1,-1,-1,-1,-1
BUDG78001048,Credit,2021-01-01,-338300.0,158.0,421,-1,774,-1,449,-1
BUDG78001091,Credit,2021-01-01,-1500.0,1.0,421,-1,802,-1,411,-1
BUDG78001131,Credit,2021-01-01,-3900.0,11341.0,430,-1,-1,745,461,-1
BUDG78001159,Debit,2021-01-01,100.0,1.0,407,-1,-1,-1,-1,-1
BUDG78001159,Debit,2021-01-01,600.0,1.0,387,-1,-1,-1,-1,-1
BUDG78001159,Credit,2021-01-01,-3700.0,28204.0,430,-1,-1,809,411,-1
BUDG78001159,Debit,2021-01-01,200.0,1.0,390,-1,-1,-1,-1,-1
BUDG78001159,Debit,2021-01-01,500.0,2.0,398,-1,-1,-1,-1,-1
BUDG78001159,Debit,2021-01-01,1000.0,1.0,409,-1,-1,-1,-1,-1
BUDG78001159,Debit,2021-01-01,4600.0,1.0,394,-1,-1,-1,-1,-1
BUDG78001159,Debit,2021-01-01,600.0,1.0,405,-1,-1,-1,-1,-1
BUDG78001159,Debit,2021-01-01,600.0,1.0,388,-1,-1,-1,-1,-1
BUDG78001160,Credit,2021-01-01,-25900.0,144962.0,430,-1,-1,782,430,-1
BUDG78001161,Debit,2021-01-01,118200.0,1.0,402,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,86000.0,1.0,401,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,202900.0,4.0,385,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,16300.0,1.0,403,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,16100.0,1.0,391,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,153700.0,1.0,390,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,23800.0,1.0,398,-1,-1,-1,-1,-1
BUDG78001161,Credit,2021-01-01,-243000.0,10.0,423,-1,794,-1,437,-1
BUDG78001161,Debit,2021-01-01,43200.0,1.0,394,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,113600.0,1.0,386,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,47200.0,1.0,410,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,28300.0,2.0,406,-1,-1,-1,-1,-1
BUDG78001161,Debit,2021-01-01,359400.0,2.0,388,-1,-1,-1,-1,-1
BUDG78001202,Credit,2021-01-01,-47400.0,3.0,421,-1,758,-1,411,-1
BUDG78001218,Credit,2021-01-01,-1968000.0,5.0,424,-1,742,-1,423,-1
BUDG78001253,Credit,2021-01-01,-214100.0,437.0,423,-1,791,-1,450,-1
BUDG78001318,Credit,2021-01-01,-190300.0,195.0,421,-1,778,-1,411,-1
BUDG78001334,Credit,2021-01-01,-30300.0,160455.0,430,-1,-1,776,411,-1
BUDG78001342,Credit,2021-01-01,-424500.0,208111.0,422,-1,741,-1,422,-1
BUDG78001359,Credit,2021-01-01,-52300.0,281768.0,430,-1,-1,778,457,-1
BUDG78001378,Debit,2021-01-01,4400.0,1.0,400,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,109900.0,1.0,399,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,61900.0,2.0,387,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,11800.0,1.0,403,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,34900.0,1.0,391,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,1700.0,1.0,390,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,3200.0,1.0,384,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,7200.0,1.0,409,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,32700.0,1.0,393,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,10100.0,1.0,394,-1,-1,-1,-1,-1
BUDG78001378,Credit,2021-01-01,-233100.0,6014.0,421,-1,783,-1,411,-1
BUDG78001378,Debit,2021-01-01,75400.0,1.0,392,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,80200.0,1.0,406,-1,-1,-1,-1,-1
BUDG78001378,Debit,2021-01-01,12300.0,1.0,388,-1,-1,-1,-1,-1
BUDG78001447,Credit,2021-01-01,-500.0,1051.0,421,-1,832,-1,469,-1
BUDG78001453,Debit,2021-01-01,22300.0,2.0,400,-1,-1,-1,-1,-1
BUDG78001453,Debit,2021-01-01,42200.0,1.0,408,-1,-1,-1,-1,-1
BUDG78001453,Debit,2021-01-01,36500.0,2.0,404,-1,-1,-1,-1,-1
BUDG78001453,Credit,2021-01-01,-115300.0,491680.0,430,-1,-1,764,449,-1
BUDG78001453,Debit,2021-01-01,800.0,1.0,390,-1,-1,-1,-1,-1
BUDG78001453,Debit,2021-01-01,6600.0,2.0,398,-1,-1,-1,-1,-1
BUDG78001453,Debit,2021-01-01,9400.0,1.0,389,-1,-1,-1,-1,-1
BUDG78001453,Debit,2021-01-01,3000.0,1.0,386,-1,-1,-1,-1,-1
BUDG78001453,Debit,2021-01-01,1100.0,1.0,406,-1,-1,-1,-1,-1
BUDG78001461,Credit,2021-01-01,-1509000.0,5246276.0,430,-1,-1,753,461,-1
BUDG78001474,Debit,2021-01-01,1485700.0,1.0,407,-1,-1,-1,-1,-1
BUDG78001474,Debit,2021-01-01,1849800.0,1.0,402,-1,-1,-1,-1,-1
BUDG78001474,Debit,2021-01-01,304200.0,1.0,400,-1,-1,-1,-1,-1
BUDG78001474,Debit,2021-01-01,149300.0,1.0,408,-1,-1,-1,-1,-1
BUDG78001474,Debit,2021-01-01,480400.0,1.0,390,-1,-1,-1,-1,-1
BUDG78001474,Debit,2021-01-01,182500.0,1.0,398,-1,-1,-1,-1,-1
BUDG78001474,Debit,2021-01-01,1974900.0,1.0,394,-1,-1,-1,-1,-1
BUDG78001474,Credit,2021-01-01,-3455100.0,451.0,421,-1,759,-1,437,-1
