document_number,debit_credit,date,amount,quantity,account_id,product_id,procurement_id,service_id,vendor_id,customer_id
78002839,Credit,2022-04-19,-13270681.83,53.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001356,Credit,2024-11-08,-5026264.05,20.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002755,Credit,2023-04-02,-56947.91,0.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002634,Credit,2020-01-22,-63453218.11,253.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002771,Credit,2022-10-25,-988307.74,3.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001718,Credit,2021-10-01,-48299406.57,193.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002167,Credit,2022-11-11,-163510.23,0.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001198,Credit,2022-06-05,-18008640.83,72.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001814,Credit,2025-08-05,-39267643.09,157.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002346,Credit,2020-03-29,-16335508.72,65.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002822,Credit,2024-02-08,-54813293.35,219.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002355,Credit,2025-02-11,-39341.63,0.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002287,Credit,2025-10-03,-68434620.01,273.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001216,Credit,2021-01-21,-10238059.99,40.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002724,Credit,2023-03-08,-1498132.36,5.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001555,Credit,2020-04-04,-18640973.71,74.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002457,Credit,2022-12-27,-29409648.77,117.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001802,Credit,2020-09-30,-177432874.81,709.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002483,Credit,2025-01-12,-19029423.18,76.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001700,Credit,2020-09-05,-10778096.79,43.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001502,Credit,2023-01-28,-7757188.13,31.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001468,Credit,2023-02-14,-12682.45,0.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002974,Credit,2025-10-31,-129549.74,0.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002729,Credit,2023-12-06,-76862828.21,307.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002805,Credit,2021-09-23,-14795266.36,59.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78001365,Credit,2021-06-08,-1836437.46,7.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002795,Credit,2020-10-06,-9721604.79,38.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
78002936,Credit,2024-07-18,-8590843.08,34.0,COGS New Vehicles Purchase,,New passenger vehicles,,Volkswagen AG,
