document_number,debit_credit,date,amount,quantity,account_id,product_id,procurement_id,service_id,vendor_id,customer_id,flow_variant,flow_type
78002253,Credit,2021-07-31,-17142311.33,19047.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002702,Credit,2023-03-07,-402741.61,447.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001577,Credit,2023-05-08,-32777874.73,36419.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001031,Credit,2021-03-22,-5576460.03,6196.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002631,Credit,2020-10-04,-275106.87,305.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001057,Credit,2024-12-29,-20279679.31,22532.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002127,Credit,2023-11-23,-7895571.3,8772.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001311,Credit,2022-09-10,-1811760.05,2013.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002669,Credit,2024-04-21,-13522213.09,15024.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002752,Credit,2020-02-28,-18942467.16,21047.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002090,Credit,2021-04-03,-3667496.79,4074.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001689,Credit,2020-04-13,-12756490.78,14173.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002397,Credit,2022-04-10,-8069867.84,8966.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002782,Credit,2022-02-27,-22154182.7,24615.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002829,Credit,2025-11-21,-3039110.67,3376.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001234,Credit,2022-01-11,-1151061.63,1278.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001642,Credit,2024-04-21,-13041.61,14.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002135,Credit,2021-07-08,-14531382.38,16145.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002412,Credit,2021-09-19,-226331.75,251.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002431,Credit,2023-01-12,-11061017.34,12290.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78002077,Credit,2025-11-04,-37445.38,41.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001801,Credit,2021-03-03,-4124147.74,4582.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
78001238,Credit,2024-12-31,-8992658.75,9991.0,COGS - Raw Materials,,Wood chips (biomass feedstock),,GreenLeaf Biomass,,,
