item_name,source_type,annual_spend,unit_price,proportionality,product_id,procurement_id,service_id
New passenger vehicles,procurement,84934000.0,285000,0.3068285676981329,,New passenger vehicles,
New commercial vans,procurement,29275000.0,228000,0.1057579318448883,,New commercial vans,
Electric vehicle batteries,procurement,20240000.0,70000,0.0731165948557253,,Electric vehicle batteries,
Vehicle infotainment systems,procurement,8313000.0,7400,0.03003003003003,,Vehicle infotainment systems,
Vehicle tires,procurement,7228000.0,1350,0.0261130695913304,,Vehicle tires,
Engine oil,procurement,6867000.0,700,0.0248074161117639,,Engine oil,
Vehicle transmissions,procurement,6506000.0,34000,0.0235017626321974,,Vehicle transmissions,
Vehicle exhaust systems,procurement,6144000.0,4800,0.0221961091526308,,Vehicle exhaust systems,
Vehicle brake systems,procurement,5783000.0,2400,0.0208904556730643,,Vehicle brake systems,
Vehicle air conditioning units,procurement,5421000.0,5300,0.0195848021934978,,Vehicle air conditioning units,
"Vehicle glass (windscreens, windows)",procurement,4699000.0,2400,0.0169734952343648,,"Vehicle glass (windscreens, windows)",
Interior trim components,procurement,3976000.0,1600,0.0143621882752317,,Interior trim components,
Vehicle steering systems,procurement,3976000.0,5700,0.0143621882752317,,Vehicle steering systems,
Paints and coatings for vehicles,procurement,3614000.0,2600,0.0130565347956652,,Paints and coatings for vehicles,
Vehicle seats,procurement,3253000.0,6700,0.0117508813160987,,Vehicle seats,
Automotive lubricants,procurement,2891000.0,420,0.0104452278365321,,Automotive lubricants,
Vehicle drivetrains,procurement,2530000.0,38000,0.0091395743569656,,Vehicle drivetrains,
Vehicle radiators,procurement,2530000.0,3800,0.0091395743569656,,Vehicle radiators,
Vehicle batteries (12V),procurement,2530000.0,980,0.0091395743569656,,Vehicle batteries (12V),
Engine control units (ECU),procurement,2169000.0,4100,0.0078339208773991,,Engine control units (ECU),
Vehicle doors,procurement,2169000.0,5500,0.0078339208773991,,Vehicle doors,
Vehicle tailgates,procurement,2169000.0,5200,0.0078339208773991,,Vehicle tailgates,
Vehicle alloy wheels,procurement,2169000.0,2300,0.0078339208773991,,Vehicle alloy wheels,
Vehicle bumpers,procurement,2169000.0,2100,0.0078339208773991,,Vehicle bumpers,
Vehicle mirrors,procurement,2169000.0,1200,0.0078339208773991,,Vehicle mirrors,
Vehicle grilles,procurement,1807000.0,1700,0.0065282673978326,,Vehicle grilles,
Rental fleet vehicles,procurement,1807000.0,87000,0.0065282673978326,,Rental fleet vehicles,
Workshop vehicle lifts,procurement,1446000.0,41000,0.005222613918266,,Workshop vehicle lifts,
Workshop hand tools,procurement,1446000.0,210,0.005222613918266,,Workshop hand tools,
Vehicle jacks,procurement,1446000.0,1100,0.005222613918266,,Vehicle jacks,
Workshop compressors,procurement,1446000.0,18500,0.005222613918266,,Workshop compressors,
Workshop pneumatic tools,procurement,1446000.0,1700,0.005222613918266,,Workshop pneumatic tools,
Workshop tool cabinets,procurement,1446000.0,5200,0.005222613918266,,Workshop tool cabinets,
Workshop alignment systems,procurement,1084000.0,25000,0.0039169604386995,,Workshop alignment systems,
Battery charging units,procurement,1084000.0,3600,0.0039169604386995,,Battery charging units,
Tire mounting machines,procurement,1084000.0,34000,0.0039169604386995,,Tire mounting machines,
Vehicle cleaning robots,procurement,1084000.0,42000,0.0039169604386995,,Vehicle cleaning robots,
Workshop creepers,procurement,1084000.0,900,0.0039169604386995,,Workshop creepers,
Workshop workbenches,procurement,1084000.0,3800,0.0039169604386995,,Workshop workbenches,
Workshop lighting,procurement,1084000.0,600,0.0039169604386995,,Workshop lighting,
Workshop floor coatings,procurement,723000.0,1100,0.002611306959133,,Workshop floor coatings,
Fuel dispensers,procurement,723000.0,26000,0.002611306959133,,Fuel dispensers,
Workshop gloves,procurement,723000.0,45,0.002611306959133,,Workshop gloves,
Mechanic coveralls,procurement,723000.0,480,0.002611306959133,,Mechanic coveralls,
Protective eyewear,procurement,723000.0,140,0.002611306959133,,Protective eyewear,
Workshop first aid kits,procurement,723000.0,340,0.002611306959133,,Workshop first aid kits,
Fire extinguishers,procurement,723000.0,600,0.002611306959133,,Fire extinguishers,
Workshop absorbent mats,procurement,723000.0,210,0.002611306959133,,Workshop absorbent mats,
Workshop ventilation systems,procurement,723000.0,23000,0.002611306959133,,Workshop ventilation systems,
Protective seat covers,procurement,723000.0,95,0.002611306959133,,Protective seat covers,
Workshop signage,procurement,723000.0,400,0.002611306959133,,Workshop signage,
Spare wheel covers,procurement,723000.0,350,0.002611306959133,,Spare wheel covers,
Workshop ladders,procurement,723000.0,1100,0.002611306959133,,Workshop ladders,
Warehouse racking,procurement,723000.0,4400,0.002611306959133,,Warehouse racking,
Warehouse forklifts,procurement,651000.0,165000,0.0023501762632197,,Warehouse forklifts,
Pallet jacks,procurement,651000.0,3100,0.0023501762632197,,Pallet jacks,
Warehouse safety barriers,procurement,614000.0,900,0.002219610915263,,Warehouse safety barriers,
Warehouse label printers,procurement,614000.0,2200,0.002219610915263,,Warehouse label printers,
Warehouse barcode scanners,procurement,614000.0,1800,0.002219610915263,,Warehouse barcode scanners,
Shipping pallets,procurement,614000.0,90,0.002219610915263,,Shipping pallets,
Warehouse bins and totes,procurement,614000.0,210,0.002219610915263,,Warehouse bins and totes,
Warehouse gloves,procurement,614000.0,35,0.002219610915263,,Warehouse gloves,
Warehouse cleaning supplies,procurement,578000.0,120,0.0020890455673064,,Warehouse cleaning supplies,
Warehouse ladders,procurement,578000.0,900,0.0020890455673064,,Warehouse ladders,
Warehouse fans,procurement,578000.0,1700,0.0020890455673064,,Warehouse fans,
Warehouse hand trucks,procurement,542000.0,850,0.0019584802193497,,Warehouse hand trucks,
Warehouse shrink wrap machines,procurement,542000.0,42000,0.0019584802193497,,Warehouse shrink wrap machines,
Warehouse carts,procurement,542000.0,1200,0.0019584802193497,,Warehouse carts,
Warehouse safety signs,procurement,542000.0,280,0.0019584802193497,,Warehouse safety signs,
Shipping labels,procurement,542000.0,8,0.0019584802193497,,Shipping labels,
IT desktop computers,procurement,470000.0,6700,0.0016973495234364,,IT desktop computers,
IT servers,procurement,398000.0,31000,0.0014362188275231,,IT servers,
Network switches,procurement,398000.0,2100,0.0014362188275231,,Network switches,
Network cabling,procurement,398000.0,110,0.0014362188275231,,Network cabling,
Printers,procurement,398000.0,2300,0.0014362188275231,,Printers,
Printer toner cartridges,procurement,398000.0,620,0.0014362188275231,,Printer toner cartridges,
Printer paper (A4),procurement,398000.0,35,0.0014362188275231,,Printer paper (A4),
Uninterruptible power supplies,procurement,361000.0,3400,0.0013056534795665,,Uninterruptible power supplies,
IT keyboards,procurement,361000.0,180,0.0013056534795665,,IT keyboards,
