item_name,source_type,annual_spend,unit_price,proportionality,product_id,procurement_id,service_id
Used Passenger Cars,Product Sales,41942000.0,180000,0.0649350649350649,Used Passenger Cars,,
New Electric Vehicles,Product Sales,36909000.0,410000,0.0571428571428571,New Electric Vehicles,,
Leasing Contracts - Private,Product Sales,34392000.0,370000,0.0532467532467532,Leasing Contracts - Private,,
Leasing Contracts - Business,Product Sales,31037000.0,420000,0.048051948051948,Leasing Contracts - Business,,
Fleet Sales,Product Sales,27681000.0,320000,0.0428571428571428,Fleet Sales,,
Hybrid Vehicles,Product Sales,20971000.0,350000,0.0324675324675324,Hybrid Vehicles,,
Certified Pre-Owned Cars,Product Sales,17615000.0,220000,0.0272727272727272,Certified Pre-Owned Cars,,
Car Subscription Services,Product Sales,15938000.0,12500,0.0246753246753246,Car Subscription Services,,
Service & Maintenance Packages,Product Sales,14260000.0,9000,0.022077922077922,Service & Maintenance Packages,,
Premium Car Models,Product Sales,13421000.0,690000,0.0207792207792207,Premium Car Models,,
Luxury Used Cars,Product Sales,11744000.0,410000,0.0181818181818181,Luxury Used Cars,,
Electric Van Models,Product Sales,10905000.0,330000,0.0168831168831168,Electric Van Models,,
Light Commercial Leasing,Product Sales,10066000.0,340000,0.0155844155844155,Light Commercial Leasing,,
Demo/Showroom Cars,Product Sales,10066000.0,230000,0.0155844155844155,Demo/Showroom Cars,,
Plug-in Hybrid Vehicles,Product Sales,8388000.0,380000,0.0129870129870129,Plug-in Hybrid Vehicles,,
Mid-size Sedan Models,Product Sales,7549000.0,270000,0.0116883116883116,Mid-size Sedan Models,,
Car Buyback Programs,Product Sales,6711000.0,150000,0.0103896103896103,Car Buyback Programs,,
Car Extended Warranty,Product Sales,6711000.0,4800,0.0103896103896103,Car Extended Warranty,,
Winter Tire Kits,Product Sales,6711000.0,5900,0.0103896103896103,Winter Tire Kits,,
Service Inspections,Product Sales,5872000.0,4200,0.009090909090909,Service Inspections,,
Automotive Software Upgrades,Product Sales,5872000.0,2700,0.009090909090909,Automotive Software Upgrades,,
Commercial Vehicle Upfitting,Product Sales,5872000.0,19000,0.009090909090909,Commercial Vehicle Upfitting,,
Performance Car Models,Product Sales,5033000.0,510000,0.0077922077922077,Performance Car Models,,
Trade-In Services,Product Sales,5033000.0,3500,0.0077922077922077,Trade-In Services,,
Used EVs,Product Sales,5033000.0,220000,0.0077922077922077,Used EVs,,
Mobility Consulting Services,Product Sales,5033000.0,7200,0.0077922077922077,Mobility Consulting Services,,
Roadside Assistance,Product Sales,5033000.0,1700,0.0077922077922077,Roadside Assistance,,
Alloy Wheels,Product Sales,5033000.0,4200,0.0077922077922077,Alloy Wheels,,
Brake Systems,Product Sales,4194000.0,3900,0.0064935064935064,Brake Systems,,
Child Safety Seats,Product Sales,4194000.0,1700,0.0064935064935064,Child Safety Seats,,
Van Conversion Packages,Product Sales,4194000.0,32000,0.0064935064935064,Van Conversion Packages,,
Driver Assistance Upgrades,Product Sales,4194000.0,3500,0.0064935064935064,Driver Assistance Upgrades,,
Car Security Systems,Product Sales,4194000.0,2100,0.0064935064935064,Car Security Systems,,
Cargo Management Accessories,Product Sales,4194000.0,2300,0.0064935064935064,Cargo Management Accessories,,
Tow Bars & Hitches,Product Sales,4194000.0,2700,0.0064935064935064,Tow Bars & Hitches,,
Roof Boxes,Product Sales,4194000.0,3900,0.0064935064935064,Roof Boxes,,
Aftermarket GPS Units,Product Sales,3355000.0,2100,0.0051948051948051,Aftermarket GPS Units,,
EV Charging Stations,Product Sales,3355000.0,8500,0.0051948051948051,EV Charging Stations,,
Car Bodywork Repairs,Product Sales,3355000.0,6200,0.0051948051948051,Car Bodywork Repairs,,
Seasonal Tire Storage,Product Sales,3355000.0,1600,0.0051948051948051,Seasonal Tire Storage,,
Paint Protection Film,Product Sales,3355000.0,2700,0.0051948051948051,Paint Protection Film,,
Battery Replacement,Product Sales,3355000.0,3500,0.0051948051948051,Battery Replacement,,
Brake Pad Replacement,Product Sales,3355000.0,1950,0.0051948051948051,Brake Pad Replacement,,
Oil Change Service,Product Sales,3355000.0,1200,0.0051948051948051,Oil Change Service,,
Used Fleet Vehicles,Product Sales,3355000.0,135000,0.0051948051948051,Used Fleet Vehicles,,
Car Air Conditioning Service,Product Sales,3355000.0,2200,0.0051948051948051,Car Air Conditioning Service,,
Headlight Upgrades,Product Sales,3355000.0,1750,0.0051948051948051,Headlight Upgrades,,
Car Mats & Liners,Product Sales,3355000.0,950,0.0051948051948051,Car Mats & Liners,,
Vehicle Registration Service,Product Sales,3355000.0,800,0.0051948051948051,Vehicle Registration Service,,
Body Kit Accessories,Product Sales,3355000.0,3700,0.0051948051948051,Body Kit Accessories,,
Spark Plug Replacement,Product Sales,3355000.0,750,0.0051948051948051,Spark Plug Replacement,,
Vehicle Tracking Systems,Product Sales,2516000.0,6700,0.0038961038961038,Vehicle Tracking Systems,,
Paint Touch-Up Kits,Product Sales,2516000.0,630,0.0038961038961038,Paint Touch-Up Kits,,
Car Battery Chargers,Product Sales,2516000.0,950,0.0038961038961038,Car Battery Chargers,,
Rubber Floor Mats,Product Sales,2516000.0,750,0.0038961038961038,Rubber Floor Mats,,
