item_name,account_id,account_name,vendor_name,bu_id
Color pigment masterbatch,4009,Inter Company COS,LEGO_DE_ASSEMBLY,LEGO_US_PACKAGING
Laser engraving heads,4003,Retail COS,ENGEL Group,LEGO_DE_ENGINEERING
Conveyor belts,4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
ABS resin pellets,4003,Retail COS,BASF Plastics,LEGO_DE_ASSEMBLY
Component feeders,4003,Retail COS,Motan Colortronic,LEGO_DE_ASSEMBLY
Thermoplastic elastomer pellets,4003,Retail COS,BASF Plastics,LEGO_DE_ASSEMBLY
Pallet stretch film rolls,4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
Machine lubricants,4003,Retail COS,Perstorp AB,LEGO_DE_ENGINEERING
Electric drive motors,4003,Retail COS,Schneider Electric,LEGO_DE_ENGINEERING
Shipping corrugated cartons,4003,Retail COS,LEGO_DE_ASSEMBLY,LEGO_US_PACKAGING
Mold steel blocks,4003,Retail COS,ENGEL Group,LEGO_DE_ENGINEERING
Tool steel inserts,4003,Retail COS,ENGEL Group,LEGO_DE_ENGINEERING
Hydraulic oil,4003,Retail COS,Perstorp AB,LEGO_SE_LOGISTICS
Spare solenoid coils,4009,Inter Company COS,LEGO_DE_ASSEMBLY,LEGO_DE_ASSEMBLY
Air compressor filters,4003,Retail COS,Lyreco Nordic,LEGO_DE_ENGINEERING
High-precision temperature sensors,4003,Retail COS,Solvay Specialty Polymers,LEGO_DE_ENGINEERING
Vacuum pumps,4003,Retail COS,ENGEL Group,LEGO_DE_ENGINEERING
Electric heating elements,4003,Retail COS,Schneider Electric,LEGO_DE_ENGINEERING
Automated sorting sensors,4003,Retail COS,KUKA Robotics,LEGO_SE_LOGISTICS
Stainless steel fasteners,4003,Retail COS,BASF Plastics,LEGO_DE_ENGINEERING
Production line light fixtures,4003,Retail COS,AkzoNobel Coatings,LEGO_DE_ASSEMBLY
Desiccant dryer media,4003,Retail COS,BASF Plastics,LEGO_SE_LOGISTICS
Digital display panels,4003,Retail COS,Schneider Electric,LEGO_US_DIGITAL
Laser sensors,4003,Retail COS,KUKA Robotics,LEGO_DE_ENGINEERING
Industrial ethernet cables,4003,Retail COS,Siemens Industry,LEGO_DE_ENGINEERING
Workstation anti-fatigue mats,4003,Retail COS,Staples Denmark,LEGO_SE_LOGISTICS
Vacuum suction cups,4003,Retail COS,BASF Plastics,LEGO_DE_ENGINEERING
Replacement conveyor chains,4003,Retail COS,ENGEL Group,LEGO_SE_LOGISTICS
