customer_id,customer_name,customer_type,customer_country,terms_id,CUSTOMERNUMBER,SFBusinessArea,CCARCUSTOMERNUMBER,Customer Email,creditblock,CREDITLIMITLOCALCURRENCY,DunsNumber,DNB_CL,PAYMENTTERM,FACTORINGCUSTOMER,CustomerSegment,RiskCategoryText,CUSTOMERCREATIONDATE,RTEXT,CLERKPHONE
CUS003,Target,CUSTOMER,United States,6,CUS003,Certificates,CCAR-000000,cus003@example.com,No,73273.79,318520688,B,Net 60,Yes,Enterprise,Low,2021-10-19,OK,+4569907857
CUS004,Amazon,CUSTOMER,United States,4,CUS004,Retail,CCAR-000001,cus004@example.com,No,67303.82,736028516,B,Net 60,Yes,SME,Medium,2022-01-20,Escalated,+4599569119
CUS018,Kmart Australia,CUSTOMER,Australia,3,CUS018,Feedstock,CCAR-000002,cus018@example.com,No,41977.74,249638768,B,Net 30,No,Corporate,Low,2021-08-10,Escalated,+4591021806
CUS020,Toys R Us Japan,CUSTOMER,Japan,4,CUS020,Certificates,CCAR-000003,cus020@example.com,No,64899.47,258428240,A,Net 30,Yes,SME,Medium,2022-10-29,OK,+4527468810
CUS013,MyToys.de,CUSTOMER,Germany,7,CUS013,Certificates,CCAR-000004,cus013@example.com,Yes,50634.15,172073914,A,Net 45,Yes,SME,Low,2023-01-02,Review ongoing,+4521635156
CUS027,Barnes & Noble,CUSTOMER,United States,3,CUS027,Retail,CCAR-000005,cus027@example.com,No,97736.97,570575216,B,Net 30,No,Corporate,Medium,2022-08-11,Escalated,+4545301054
CUS034,Toys R Us Singapore,CUSTOMER,Singapore,7,CUS034,Feedstock,CCAR-000006,cus034@example.com,No,87913.11,111506305,A,Net 45,Yes,SME,Low,2021-05-06,OK,+4597264088
CUS030,Macy's,CUSTOMER,United States,3,CUS030,Feedstock,CCAR-000007,cus030@example.com,No,77738.36,791648731,A,Net 30,No,Enterprise,Low,2022-07-01,OK,+4525001045
CUS037,Parkson,CUSTOMER,Malaysia,4,CUS037,Certificates,CCAR-000008,cus037@example.com,Yes,38878.79,321099573,C,Net 45,Yes,SME,Low,2023-04-12,Review ongoing,+4591572282
CUS031,Galeries Lafayette,CUSTOMER,France,3,CUS031,Gas,CCAR-000009,cus031@example.com,No,40485.47,241951830,A,Net 60,No,Corporate,Medium,2023-04-06,Escalated,+4548267184
CUS041,Sears Mexico,CUSTOMER,Mexico,3,CUS041,Certificates,CCAR-000010,cus041@example.com,No,23234.69,223035620,A,Net 30,No,Corporate,Low,2020-06-18,Escalated,+4524345760
CUS036,Central Department Store,CUSTOMER,Thailand,2,CUS036,Certificates,CCAR-000011,cus036@example.com,No,76853.03,508327903,C,Net 30,No,Corporate,High,2022-08-03,OK,+4543930984
CUS033,Coop,CUSTOMER,Switzerland,5,CUS033,Certificates,CCAR-000012,cus033@example.com,No,28871.27,779746784,C,Net 30,No,SME,Low,2022-03-05,OK,+4556805730
CUS039,Liverpool,CUSTOMER,Mexico,5,CUS039,Certificates,CCAR-000013,cus039@example.com,No,55146.92,677034624,A,Net 30,Yes,Corporate,Low,2021-09-25,Review ongoing,+4558019582
